,Naive A,Naive B,Naive C,Naive D
k = 0,"(1.041575402117582, 1.0463104547962512)","(0.9339079423901117, 0.9415587871884178)","(0.868738239416016, 0.9773594597597439)","(0.8017622400441295, 0.8870960478788894)"
k = 1,"(1.0447815417584971, 1.033447978781973)","(0.934870087359004, 0.9379153632672775)","(0.8712648822804079, 0.9693818192946517)","(0.8026479852898376, 0.8837364734820051)"
k = 2,"(1.0437750629331617, 1.0375211399819684)","(0.934909120455859, 0.9375281023751794)","(0.8683730543127981, 0.9766817540189813)","(0.8012296702757175, 0.8898686104112582)"
k = 3,"(1.0408192440415087, 1.049315877818297)","(0.933710660215802, 0.9423862864156648)","(0.868293966682993, 0.9781531362323755)","(0.8014114523736893, 0.8875201636052478)"
k = 4,"(1.04165086608904, 1.0460537456823704)","(0.9326225617848869, 0.9467554385477013)","(0.867115930473242, 0.9839418409514673)","(0.79946178096183, 0.89740325885284)"
